id_servicio,tipo,habitacion,edificio,seccion,bellboy,hora_solicitud,hora_asignacion,hora_entrega,hora_limite_salida,tiempo_total_servicio,tiempo_espera_asignacion,a_tiempo,hora_del_dia
SRV_0,Check-out,3984,Toronja,Sur,BB_08,2026-03-15 10:48:00,2026-03-15 10:53:00,2026-03-15 11:06:00,2026-03-15 11:48:00,18.0,5.0,True,10
SRV_1,Check-out,2218,Estrella,Norte,BB_01,2026-03-15 10:45:00,2026-03-15 10:54:00,2026-03-15 11:22:00,2026-03-15 11:45:00,37.0,9.0,True,10
SRV_2,Check-out,4163,Toronja,Sur,BB_13,2026-03-15 11:51:00,2026-03-15 12:06:00,2026-03-15 12:16:00,2026-03-15 12:51:00,25.0,15.0,True,11
SRV_3,Check-in,3431,Mango,Sur,BB_18,2026-03-15 13:17:00,2026-03-15 13:24:00,2026-03-15 13:35:00,,18.0,7.0,True,13
SRV_4,Check-in,3872,Piña,Sur,BB_01,2026-03-15 14:21:00,2026-03-15 14:42:00,2026-03-15 14:56:00,,35.0,21.0,False,14
SRV_5,Check-in,1523,Piñata,Norte,BB_24,2026-03-15 14:24:00,2026-03-15 14:41:00,2026-03-15 15:03:00,,39.0,17.0,False,14
SRV_6,Check-in,1183,Sombrero,Norte,BB_01,2026-03-15 15:33:00,2026-03-15 15:51:00,2026-03-15 16:20:00,,47.0,18.0,False,15
SRV_7,Check-out,313,Villa 3,Golf,BB_17,2026-03-15 09:08:00,2026-03-15 09:28:00,2026-03-15 09:58:00,2026-03-15 10:08:00,50.0,20.0,True,9
SRV_8,Check-in,1257,Sombrero,Norte,BB_10,2026-03-15 19:14:00,2026-03-15 19:30:00,2026-03-15 19:44:00,,30.0,16.0,True,19
SRV_9,Check-out,3862,Piña,Sur,BB_16,2026-03-15 10:19:00,2026-03-15 10:42:00,2026-03-15 11:02:00,2026-03-15 11:19:00,43.0,23.0,True,10
SRV_10,Check-in,1266,Sombrero,Norte,BB_27,2026-03-15 17:29:00,2026-03-15 17:46:00,2026-03-15 18:10:00,,41.0,17.0,False,17
SRV_11,Check-in,1751,Luna,Norte,BB_10,2026-03-15 15:12:00,2026-03-15 15:23:00,2026-03-15 15:39:00,,27.0,11.0,True,15
SRV_12,Check-in,2105,Estrella,Norte,BB_34,2026-03-15 16:16:00,2026-03-15 16:38:00,2026-03-15 16:55:00,,39.0,22.0,False,16
SRV_13,Check-in,3661,Piña,Sur,BB_30,2026-03-15 13:04:00,2026-03-15 13:17:00,2026-03-15 13:29:00,,25.0,13.0,True,13
SRV_14,Check-in,213,Villa 2,Golf,BB_30,2026-03-15 16:37:00,2026-03-15 16:44:00,2026-03-15 16:59:00,,22.0,7.0,True,16
SRV_15,Check-out,3483,Mango,Sur,BB_05,2026-03-15 09:43:00,2026-03-15 10:04:00,2026-03-15 10:26:00,2026-03-15 10:43:00,43.0,21.0,True,9
SRV_16,Check-out,202,Villa 2,Golf,BB_17,2026-03-15 12:04:00,2026-03-15 12:18:00,2026-03-15 12:38:00,2026-03-15 13:04:00,34.0,14.0,True,12
